original_word,new_word,case_variations,starting_letter,offset,direction
anteriorly,RITEN,"['anTERIOrly', 'AnTERIOrly', 'aNTERIOrly', 'ANTERIOrly', 'anTERIORly', 'AnTERIORly', 'aNTERIORly', 'ANTERIORly', 'anTERIOrLy', 'AnTERIOrLy', 'aNTERIOrLy', 'ANTERIOrLy', 'anTERIORLy', 'AnTERIORLy', 'aNTERIORLy', 'ANTERIORLy', 'anTERIOrlY', 'AnTERIOrlY', 'aNTERIOrlY', 'ANTERIOrlY', 'anTERIORlY', 'AnTERIORlY', 'aNTERIORlY', 'ANTERIORlY', 'anTERIOrLY', 'AnTERIOrLY', 'aNTERIOrLY', 'ANTERIOrLY', 'anTERIORLY', 'AnTERIORLY', 'aNTERIORLY', 'ANTERIORLY']",1,3,reverse
trendier,TRÄNT,"['treNDiER', 'tReNDiER', 'trENDiER', 'tRENDiER']",2,3,reverse
unexcelled,EDleM,"['unexceLlED', 'uNexceLlED', 'unExceLlED', 'uNExceLlED', 'uneXceLlED', 'uNeXceLlED', 'unEXceLlED', 'uNEXceLlED', 'unexCeLlED', 'uNexCeLlED', 'unExCeLlED', 'uNExCeLlED', 'uneXCeLlED', 'uNeXCeLlED', 'unEXCeLlED', 'uNEXCeLlED']",4,7,reverse
vestibular,FUHRE,"['vestIBULAr', 'VestIBULAr', 'vEstIBULAr', 'VEstIBULAr', 'veStIBULAr', 'VeStIBULAr', 'vEStIBULAr', 'VEStIBULAr', 'vesTIBULAr', 'VesTIBULAr', 'vEsTIBULAr', 'VEsTIBULAr', 'veSTIBULAr', 'VeSTIBULAr', 'vESTIBULAr', 'VESTIBULAr']",3,3,reverse
patristic,EYRIE,"['patRISTIc', 'PatRISTIc', 'pAtRISTIc', 'PAtRISTIc', 'paTRISTIc', 'PaTRISTIc', 'pATRISTIc', 'PATRISTIc']",1,3,reverse
bantering,RITEN,"['banTERINg', 'BanTERINg', 'bAnTERINg', 'BAnTERINg', 'baNTERINg', 'BaNTERINg', 'bANTERINg', 'BANTERINg']",2,3,reverse
peerage,PITTA,"['pEERAGE', 'PEERAGE']",0,3,reverse
ossicles,cIggy,"['OssIcles', 'OssIcLes', 'OssIclEs', 'OssIcLEs', 'OssIcleS', 'OssIcLeS', 'OssIclES', 'OssIcLES']",0,1,reverse
unrepaired,PATIN,"['unREPAIred', 'UnREPAIred', 'uNREPAIred', 'UNREPAIred', 'unREPAIrEd', 'UnREPAIrEd', 'uNREPAIrEd', 'UNREPAIrEd', 'unREPAIreD', 'UnREPAIreD', 'uNREPAIreD', 'UNREPAIreD', 'unREPAIrED', 'UnREPAIrED', 'uNREPAIrED', 'UNREPAIrED']",1,3,reverse
fertility,FREIT,"['feRTILIty', 'FeRTILIty', 'fERTILIty', 'FERTILIty', 'feRTILItY', 'FeRTILItY', 'fERTILItY', 'FERTILItY']",1,3,reverse
intent,ENTEN,"['InTENT', 'INTENT']",1,3,reverse
systemize,KRÖTE,"['systEMiZE', 'sYstEMiZE', 'syStEMiZE', 'sYStEMiZE', 'sysTEMiZE', 'sYsTEMiZE', 'sySTEMiZE', 'sYSTEMiZE']",3,3,reverse
interments,VITEN,"['inTERMEnts', 'InTERMEnts', 'iNTERMEnts', 'INTERMEnts', 'inTERMEnTs', 'InTERMEnTs', 'iNTERMEnTs', 'INTERMEnTs', 'inTERMEntS', 'InTERMEntS', 'iNTERMEntS', 'INTERMEntS', 'inTERMEnTS', 'InTERMEnTS', 'iNTERMEnTS', 'INTERMEnTS']",1,3,reverse
identity,SEREN,"['IdenTITY', 'IDenTITY', 'IdEnTITY', 'IDEnTITY', 'IdeNTITY', 'IDeNTITY', 'IdENTITY', 'IDENTITY']",3,3,reverse
woeful,töTeT,"['wOeFUL', 'WOeFUL']",0,4,forward
misspelled,dELle,"['MisspeLleD', 'MIsspeLleD', 'MiSspeLleD', 'MISspeLleD', 'MisSpeLleD', 'MIsSpeLleD', 'MiSSpeLleD', 'MISSpeLleD', 'MissPeLleD', 'MIssPeLleD', 'MiSsPeLleD', 'MISsPeLleD', 'MisSPeLleD', 'MIsSPeLleD', 'MiSSPeLleD', 'MISSPeLleD', 'MisspELleD', 'MIsspELleD', 'MiSspELleD', 'MISspELleD', 'MisSpELleD', 'MIsSpELleD', 'MiSSpELleD', 'MISSpELleD', 'MissPELleD', 'MIssPELleD', 'MiSsPELleD', 'MISsPELleD', 'MisSPELleD', 'MIsSPELleD', 'MiSSPELleD', 'MISSPELleD']",5,7,reverse
foresees,eSSeS,"['foreSeeS', 'ForeSeeS', 'fOreSeeS', 'FOreSeeS', 'foReSeeS', 'FoReSeeS', 'fOReSeeS', 'FOReSeeS']",3,1,reverse
damages,eSsAY,"['daMAgeS', 'DaMAgeS', 'dAMAgeS', 'DAMAgeS']",2,1,reverse
rescuers,SWagS,"['resCuers', 'ResCuers', 'resCueRs', 'ResCueRs', 'resCuerS', 'ResCuerS', 'resCueRS', 'ResCueRS']",1,1,reverse
homages,eSsAY,"['hoMAgeS', 'HoMAgeS', 'hOMAgeS', 'HOMAgeS']",2,1,reverse
brickyard,AMicI,"['brIcKYArd', 'BrIcKYArd', 'bRIcKYArd', 'BRIcKYArd', 'brIcKYARd', 'BrIcKYARd', 'bRIcKYARd', 'BRIcKYARd', 'brIcKYArD', 'BrIcKYArD', 'bRIcKYArD', 'BRIcKYArD', 'brIcKYARD', 'BrIcKYARD', 'bRIcKYARD', 'BRIcKYARD']",2,1,reverse
supervises,MITAU,"['suPERVIses', 'SuPERVIses', 'sUPERVIses', 'SUPERVIses', 'suPERVIsEs', 'SuPERVIsEs', 'sUPERVIsEs', 'SUPERVIsEs', 'suPERVIseS', 'SuPERVIseS', 'sUPERVIseS', 'SUPERVIseS', 'suPERVIsES', 'SuPERVIsES', 'sUPERVIsES', 'SUPERVIsES']",1,3,reverse
equalled,DELle,"['EquaLleD', 'EQuaLleD', 'EqUaLleD', 'EQUaLleD', 'EquALleD', 'EQuALleD', 'EqUALleD', 'EQUALleD']",3,7,reverse
gelled,EDleM,['geLlED'],0,7,reverse
tenrec,TINTE,['tENREC'],0,3,reverse
middlemen,MeDdLE,"['miDdLEMen', 'MiDdLEMen', 'mIDdLEMen', 'MIDdLEMen', 'miDdLEMeN', 'MiDdLEMeN', 'mIDdLEMeN', 'MIDdLEMeN']",1,7,reverse
gimmicky,MicKY,"['gimMicKY', 'GimMicKY', 'gImMicKY', 'GImMicKY', 'giMMicKY', 'GiMMicKY', 'gIMMicKY', 'GIMMicKY']",3,1,reverse
morello,mädeL,"['moreLLO', 'mOreLLO', 'moReLLO', 'mOReLLO']",2,7,reverse
sauce,SaUCe,['SaUCe'],0,1,reverse
